,state,term,outcome,croscor,lagd
288,Alaska,social distancing,daily_vaccinations_per_million,-0.015908016,-12
289,Alaska,social distancing,daily_vaccinations_per_million,-0.02930247,-11
290,Alaska,social distancing,daily_vaccinations_per_million,-0.072828517,-10
291,Alaska,social distancing,daily_vaccinations_per_million,-0.054484787,-9
292,Alaska,social distancing,daily_vaccinations_per_million,-0.041086907,-8
293,Alaska,social distancing,daily_vaccinations_per_million,0.015790739,-7
294,Alaska,social distancing,daily_vaccinations_per_million,-0.056230467,-6
295,Alaska,social distancing,daily_vaccinations_per_million,-0.044000779,-5
296,Alaska,social distancing,daily_vaccinations_per_million,-0.077964529,-4
297,Alaska,social distancing,daily_vaccinations_per_million,0.025185964,-3
298,Alaska,social distancing,daily_vaccinations_per_million,0.017195591,-2
299,Alaska,social distancing,daily_vaccinations_per_million,-0.001387637,-1
300,Alaska,social distancing,daily_vaccinations_per_million,-0.033867435,0
301,Alaska,vaccine,daily_vaccinations,0.087271865,-14
302,Alaska,vaccine,daily_vaccinations,-0.116044318,-13
303,Alaska,vaccine,daily_vaccinations,-0.060038075,-12
304,Alaska,vaccine,daily_vaccinations,-0.016544995,-11
305,Alaska,vaccine,daily_vaccinations,0.130528255,-10
306,Alaska,vaccine,daily_vaccinations,0.09882093,-9
307,Alaska,vaccine,daily_vaccinations,-0.048823931,-8
308,Alaska,vaccine,daily_vaccinations,-0.046689615,-7
309,Alaska,vaccine,daily_vaccinations,0.076075854,-6
310,Alaska,vaccine,daily_vaccinations,0.105811607,-5
311,Alaska,vaccine,daily_vaccinations,0.049411595,-4
312,Alaska,vaccine,daily_vaccinations,-0.180565713,-3
313,Alaska,vaccine,daily_vaccinations,0.108182484,-2
314,Alaska,vaccine,daily_vaccinations,0.155819251,-1
315,Alaska,vaccine,daily_vaccinations,0.093074347,0
316,Alaska,vaccine,daily_vaccinations_per_million,0.087327608,-14
317,Alaska,vaccine,daily_vaccinations_per_million,-0.116045795,-13
318,Alaska,vaccine,daily_vaccinations_per_million,-0.06002554,-12
319,Alaska,vaccine,daily_vaccinations_per_million,-0.016571865,-11
320,Alaska,vaccine,daily_vaccinations_per_million,0.130548196,-10
321,Alaska,vaccine,daily_vaccinations_per_million,0.09879784,-9
322,Alaska,vaccine,daily_vaccinations_per_million,-0.048854105,-8
323,Alaska,vaccine,daily_vaccinations_per_million,-0.046630907,-7
324,Alaska,vaccine,daily_vaccinations_per_million,0.076070566,-6
325,Alaska,vaccine,daily_vaccinations_per_million,0.105800996,-5
326,Alaska,vaccine,daily_vaccinations_per_million,0.049423345,-4
327,Alaska,vaccine,daily_vaccinations_per_million,-0.180571645,-3
328,Alaska,vaccine,daily_vaccinations_per_million,0.108150868,-2
329,Alaska,vaccine,daily_vaccinations_per_million,0.15588195,-1
330,Alaska,vaccine,daily_vaccinations_per_million,0.093075544,0
331,Alaska,vaccine near me,daily_vaccinations,-0.082757821,-14
332,Alaska,vaccine near me,daily_vaccinations,-0.099645753,-13
333,Alaska,vaccine near me,daily_vaccinations,-0.157832956,-12
334,Alaska,vaccine near me,daily_vaccinations,0.033840543,-11
335,Alaska,vaccine near me,daily_vaccinations,-0.012816401,-10
336,Alaska,vaccine near me,daily_vaccinations,-0.03878202,-9
337,Alaska,vaccine near me,daily_vaccinations,0.193877568,-8
338,Alaska,vaccine near me,daily_vaccinations,-0.054177997,-7
339,Alaska,vaccine near me,daily_vaccinations,-0.069900493,-6
340,Alaska,vaccine near me,daily_vaccinations,0.077530023,-5
341,Alaska,vaccine near me,daily_vaccinations,-0.118828278,-4
342,Alaska,vaccine near me,daily_vaccinations,0.06462109,-3
343,Alaska,vaccine near me,daily_vaccinations,0.052770441,-2
344,Alaska,vaccine near me,daily_vaccinations,0.016518863,-1
345,Alaska,vaccine near me,daily_vaccinations,0.105515528,0
346,Alaska,vaccine near me,daily_vaccinations_per_million,-0.082769515,-14
347,Alaska,vaccine near me,daily_vaccinations_per_million,-0.099663071,-13
348,Alaska,vaccine near me,daily_vaccinations_per_million,-0.157852841,-12
349,Alaska,vaccine near me,daily_vaccinations_per_million,0.033905727,-11
350,Alaska,vaccine near me,daily_vaccinations_per_million,-0.012845153,-10
351,Alaska,vaccine near me,daily_vaccinations_per_million,-0.03874769,-9
352,Alaska,vaccine near me,daily_vaccinations_per_million,0.193816829,-8
353,Alaska,vaccine near me,daily_vaccinations_per_million,-0.054164539,-7
354,Alaska,vaccine near me,daily_vaccinations_per_million,-0.069865717,-6
355,Alaska,vaccine near me,daily_vaccinations_per_million,0.077547561,-5
356,Alaska,vaccine near me,daily_vaccinations_per_million,-0.118845577,-4
357,Alaska,vaccine near me,daily_vaccinations_per_million,0.064606598,-3
358,Alaska,vaccine near me,daily_vaccinations_per_million,0.052824057,-2
359,Alaska,vaccine near me,daily_vaccinations_per_million,0.016483684,-1
360,Alaska,vaccine near me,daily_vaccinations_per_million,0.105512161,0
361,Arizona,covid,daily_vaccinations,0.004116318,-14
362,Arizona,covid,daily_vaccinations,-0.044490245,-13
363,Arizona,covid,daily_vaccinations,-0.098067216,-12
364,Arizona,covid,daily_vaccinations,0.109868849,-11
365,Arizona,covid,daily_vaccinations,0.030884443,-10
366,Arizona,covid,daily_vaccinations,-0.024134525,-9
367,Arizona,covid,daily_vaccinations,-0.02841185,-8
368,Arizona,covid,daily_vaccinations,-0.048068291,-7
369,Arizona,covid,daily_vaccinations,-0.046817586,-6
370,Arizona,covid,daily_vaccinations,0.08009758,-5
371,Arizona,covid,daily_vaccinations,-0.052039884,-4
372,Arizona,covid,daily_vaccinations,0.079842673,-3
373,Arizona,covid,daily_vaccinations,0.070271493,-2
374,Arizona,covid,daily_vaccinations,0.079329757,-1
375,Arizona,covid,daily_vaccinations,0.041272461,0
376,Arizona,covid,daily_vaccinations_per_million,0.004021238,-14
377,Arizona,covid,daily_vaccinations_per_million,-0.044399839,-13
378,Arizona,covid,daily_vaccinations_per_million,-0.09807301,-12
379,Arizona,covid,daily_vaccinations_per_million,0.10995189,-11
380,Arizona,covid,daily_vaccinations_per_million,0.030772536,-10
381,Arizona,covid,daily_vaccinations_per_million,-0.024035351,-9
382,Arizona,covid,daily_vaccinations_per_million,-0.028431868,-8
383,Arizona,covid,daily_vaccinations_per_million,-0.048073796,-7
384,Arizona,covid,daily_vaccinations_per_million,-0.046858993,-6
385,Arizona,covid,daily_vaccinations_per_million,0.080234462,-5
386,Arizona,covid,daily_vaccinations_per_million,-0.052209704,-4
387,Arizona,covid,daily_vaccinations_per_million,0.079895245,-3
388,Arizona,covid,daily_vaccinations_per_million,0.070343645,-2
389,Arizona,covid,daily_vaccinations_per_million,0.079326845,-1
390,Arizona,covid,daily_vaccinations_per_million,0.041157062,0
391,Arizona,mask,daily_vaccinations,-0.053587207,-14
392,Arizona,mask,daily_vaccinations,-0.08066878,-13
393,Arizona,mask,daily_vaccinations,0.036057978,-12
394,Arizona,mask,daily_vaccinations,-0.112435552,-11
395,Arizona,mask,daily_vaccinations,0.11276904,-10
396,Arizona,mask,daily_vaccinations,-0.004589895,-9
397,Arizona,mask,daily_vaccinations,0.042062256,-8
398,Arizona,mask,daily_vaccinations,-0.056106891,-7
399,Arizona,mask,daily_vaccinations,-0.0111707,-6
400,Arizona,mask,daily_vaccinations,0.00298474,-5
401,Arizona,mask,daily_vaccinations,0.106324172,-4
402,Arizona,mask,daily_vaccinations,-0.108189119,-3
403,Arizona,mask,daily_vaccinations,0.04203206,-2
404,Arizona,mask,daily_vaccinations,0.202680425,-1
405,Arizona,mask,daily_vaccinations,0.219014301,0
406,Arizona,mask,daily_vaccinations_per_million,-0.053767412,-14
407,Arizona,mask,daily_vaccinations_per_million,-0.080548282,-13
408,Arizona,mask,daily_vaccinations_per_million,0.035974812,-12
409,Arizona,mask,daily_vaccinations_per_million,-0.112444029,-11
410,Arizona,mask,daily_vaccinations_per_million,0.112933769,-10
411,Arizona,mask,daily_vaccinations_per_million,-0.004717044,-9
412,Arizona,mask,daily_vaccinations_per_million,0.042127926,-8
413,Arizona,mask,daily_vaccinations_per_million,-0.056178462,-7
414,Arizona,mask,daily_vaccinations_per_million,-0.011072586,-6
415,Arizona,mask,daily_vaccinations_per_million,0.003014215,-5
416,Arizona,mask,daily_vaccinations_per_million,0.106246384,-4
417,Arizona,mask,daily_vaccinations_per_million,-0.108234722,-3
418,Arizona,mask,daily_vaccinations_per_million,0.042007278,-2
419,Arizona,mask,daily_vaccinations_per_million,0.202840836,-1
420,Arizona,mask,daily_vaccinations_per_million,0.218788483,0
421,Arizona,qanon,daily_vaccinations,-0.015928018,-14
422,Arizona,qanon,daily_vaccinations,-0.059385277,-13
423,Arizona,qanon,daily_vaccinations,-0.148267025,-12
424,Arizona,qanon,daily_vaccinations,-0.00950281,-11
425,Arizona,qanon,daily_vaccinations,0.036462461,-10
426,Arizona,qanon,daily_vaccinations,-0.103671648,-9
427,Arizona,qanon,daily_vaccinations,0.177791829,-8
428,Arizona,qanon,daily_vaccinations,-0.126244149,-7
429,Arizona,qanon,daily_vaccinations,0.043308537,-6
430,Arizona,qanon,daily_vaccinations,-0.011494981,-5
431,Arizona,qanon,daily_vaccinations,0.00960753,-4
432,Arizona,qanon,daily_vaccinations,-0.035715445,-3
433,Arizona,qanon,daily_vaccinations,0.06611882,-2
434,Arizona,qanon,daily_vaccinations,-0.105144012,-1
435,Arizona,qanon,daily_vaccinations,-0.009825445,0
436,Arizona,qanon,daily_vaccinations_per_million,-0.015988845,-14
437,Arizona,qanon,daily_vaccinations_per_million,-0.059410222,-13
438,Arizona,qanon,daily_vaccinations_per_million,-0.148202298,-12
439,Arizona,qanon,daily_vaccinations_per_million,-0.009486794,-11
